,ticket_number,issued_date,location,description,status,dayofweek,hourofday,lat,lon,count,amount
24,395990D,2023/01/02 23:59:00+00,800 LANCASTER AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,23,43.036473,-76.123268,1,60
25,395989D,2023/01/02 23:50:00+00,800 LANCASTER AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Approved,Monday,23,43.036473,-76.123268,1,0
26,3911204D,2023/01/03 06:43:00+00,100 ELDORADO ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,6,43.063417,-76.122402,1,60
27,391205D,2023/01/03 06:43:00+00,100 ELDORADO ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Tuesday,6,43.063417,-76.122402,1,60
28,391204D,2023/01/03 06:43:00+00,100 ELDORADO ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Tuesday,6,43.063417,-76.122402,1,60
29,23500001,2023/01/03 09:57:00+00,300 FORMAN AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Tuesday,9,43.048391,-76.140049,1,60
30,23500003,2023/01/03 10:00:00+00,300 FORMAN AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,10,43.048391,-76.140049,1,60
31,23500002,2023/01/03 09:57:00+00,300 FORMAN AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,Tuesday,9,43.048391,-76.140049,1,25
32,23500005,2023/01/03 10:01:00+00,300 FORMAN AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Issued,Tuesday,10,43.048391,-76.140049,1,25
33,23500004,2023/01/03 10:01:00+00,300 FORMAN AVE,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Issued,Tuesday,10,43.048391,-76.140049,1,25
34,23500006,2023/01/03 10:03:00+00,300 FORMAN AVE,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Paid In Full,Tuesday,10,43.048391,-76.140049,1,25
35,23500007,2023/01/03 10:04:00+00,300 FORMAN AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,10,43.048391,-76.140049,1,60
36,23500010,2023/01/03 10:16:00+00,900 FAYETTE ST E,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Tuesday,10,43.0484055,-76.1374615,1,25
37,23500011,2023/01/03 10:19:00+00,900 FAYETTE ST E,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,Tuesday,10,43.0484055,-76.1374615,1,25
38,23500009,2023/01/03 10:12:00+00,900 FAYETTE ST E,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Tuesday,10,43.0484055,-76.1374615,1,25
39,23500008,2023/01/03 10:11:00+00,900 FAYETTE ST E,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Issued,Tuesday,10,43.0484055,-76.1374615,1,25
40,23500013,2023/01/03 10:28:00+00,100 ASHWORTH PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,Tuesday,10,43.047635,-76.134138,1,60
41,231500002,2023/01/03 10:29:00+00,100 BURNET AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,10,43.052202,-76.147976,1,60
42,231500001,2023/01/03 10:28:00+00,100 BURNET AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Tuesday,10,43.052202,-76.147976,1,25
43,231500004,2023/01/03 10:36:00+00,100 WAYNE ST,UNINSPECTED/ ALL TIMES VTL 306-B,Issued,Tuesday,10,43.0541216,-76.1421976,1,25
44,231500003,2023/01/03 10:30:00+00,100 BURNET AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Tuesday,10,43.052202,-76.147976,1,60
45,231500005,2023/01/03 10:36:00+00,100 WAYNE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,Tuesday,10,43.0541216,-76.1421976,1,60
46,231500006,2023/01/03 10:38:00+00,100 WAYNE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,10,43.0541216,-76.1421976,1,60
47,23500014,2023/01/03 10:42:00+00,800 SUMNER AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Tuesday,10,43.036339,-76.125755,1,25
48,231500007,2023/01/03 10:42:00+00,200 HAWLEY AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,Tuesday,10,43.0531245,-76.1436109,1,25
49,231500008,2023/01/03 10:42:00+00,200 HAWLEY AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Tuesday,10,43.0531245,-76.1436109,1,60
50,231500009,2023/01/03 10:43:00+00,200 HAWLEY AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Approved,Tuesday,10,43.0531245,-76.1436109,1,0
51,231500011,2023/01/03 10:48:00+00,300 GREEN ST,UNINSPECTED/ ALL TIMES VTL 306-B,Adjudication Denied,Tuesday,10,43.055433,-76.137463,1,25
52,231500010,2023/01/03 10:47:00+00,300 GREEN ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,10,43.055433,-76.137463,1,60
53,231500012,2023/01/03 10:48:00+00,300 GREEN ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Denied,Tuesday,10,43.055433,-76.137463,1,60
54,231500013,2023/01/03 10:50:00+00,300 GREEN ST,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Tuesday,10,43.055433,-76.137463,1,25
55,231500014,2023/01/03 10:53:00+00,300 GREEN ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,Tuesday,10,43.055433,-76.137463,1,60
56,23500015,2023/01/03 10:57:00+00,100 REDFIELD PL,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,Tuesday,10,43.037424,-76.123079,1,25
57,23500016,2023/01/03 11:00:00+00,100 JUDSON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Tuesday,11,43.0406743,-76.1218189,1,60
58,23500017,2023/01/03 11:00:00+00,100 JUDSON ST,OBSTRUCTING TRAFFIC/ALL CO15-317,Fourth Notice,Tuesday,11,43.0406743,-76.1218189,1,60
59,23500018,2023/01/03 11:05:00+00,100 DELL ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,Tuesday,11,43.041795,-76.120445,1,60
60,23500019,2023/01/03 11:05:00+00,100 DELL ST,OBSTRUCTING TRAFFIC/ALL CO15-317,Adjudication Pending ,Tuesday,11,43.041795,-76.120445,1,60
61,23500021,2023/01/03 11:06:00+00,100 DELL ST,OBSTRUCTING TRAFFIC/ALL CO15-317,Adjudication Pending ,Tuesday,11,43.041795,-76.120445,1,60
62,23500020,2023/01/03 11:06:00+00,100 DELL ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,Tuesday,11,43.041795,-76.120445,1,60
63,23500022,2023/01/03 11:08:00+00,100 DELL ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,11,43.041795,-76.120445,1,60
64,23500023,2023/01/03 11:08:00+00,100 DELL ST,OBSTRUCTING TRAFFIC/ALL CO15-317,Fourth Notice,Tuesday,11,43.041795,-76.120445,1,60
65,231500021,2023/01/03 11:13:00+00,400 BOYDEN ST,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,Tuesday,11,43.0610818,-76.1219148,1,25
66,231500020,2023/01/03 11:12:00+00,400 BOYDEN ST,UNINSPECTED/ ALL TIMES VTL 306-B,Issued,Tuesday,11,43.0610818,-76.1219148,1,25
67,395936D,2023/01/03 11:11:00+00,100 DELL ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,Tuesday,11,43.041795,-76.120445,1,60
68,395937D,2023/01/03 11:13:00+00,100 DELL ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Pending ,Tuesday,11,43.041795,-76.120445,1,25
69,395938D,2023/01/03 11:15:00+00,100 DELL ST,OBSTRUCTING TRAFFIC/ALL CO15-317,Adjudication Pending ,Tuesday,11,43.041795,-76.120445,1,60
70,392575D,2023/01/03 10:35:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,Tuesday,10,43.113505702811246,-76.11989651004016,1,25
71,392574D,2023/01/03 11:36:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,Tuesday,11,43.113505702811246,-76.11989651004016,1,25
72,382126D,2023/01/03 09:20:00+00,511 STATE ST S,PARKED IN LOADING ZONE/ALL CO15-329,Fourth Notice,Tuesday,9,0.0,0.0,1,25
73,382127D,2023/01/03 10:47:00+00,600 STATE ST S,NO PERMIT/ALL TIMES CO15-365,Fourth Notice,Tuesday,10,43.0415743,-76.1723785,1,25
74,382128D,2023/01/03 10:48:00+00,600 STATE ST S,UNINSPECTED/ ALL TIMES VTL 306-B,Adjudication Pending ,Tuesday,10,43.0415743,-76.1723785,1,25
75,382129D,2023/01/03 10:50:00+00,600 STATE ST S,NONE/ONE LICENSE PLATE/ALL VTL402-1,Adjudication Pending ,Tuesday,10,43.0415743,-76.1723785,1,25
76,382130D,2023/01/03 11:08:00+00,401 MONTGOMERY ST,NO PERMIT/ALL TIMES CO15-365,Fourth Notice,Tuesday,11,43.0466396,-76.1483142,1,25
77,376225D,2023/01/03 08:20:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,Tuesday,8,43.113505702811246,-76.11989651004016,1,25
78,395928D,2023/01/03 10:26:00+00,100 ASHWORTH PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Tuesday,10,43.047635,-76.134138,1,60
79,395925D,2023/01/03 10:14:00+00,900 FAYETTE ST E,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,Tuesday,10,43.0484055,-76.1374615,1,25
80,395929D,2023/01/03 10:31:00+00,500 WALNUT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Tuesday,10,43.0465308,-76.1323599,1,60
81,395932D,2023/01/03 10:57:00+00,100 REDFIELD PL,UNINSPECTED/ ALL TIMES VTL 306-B,Adjudication Pending ,Tuesday,10,43.037424,-76.123079,1,25
82,395933D,2023/01/03 11:05:00+00,100 DELL ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,11,43.041795,-76.120445,1,60
83,395927D,2023/01/03 10:21:00+00,900 FAYETTE ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,10,43.0484055,-76.1374615,1,60
84,395926D,2023/01/03 10:19:00+00,900 FAYETTE ST E,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Tuesday,10,43.0484055,-76.1374615,1,25
85,395935D,2023/01/03 11:09:00+00,100 DELL ST,OBSTRUCTING TRAFFIC/ALL CO15-317,Paid In Full,Tuesday,11,43.041795,-76.120445,1,60
86,23500030,2023/01/03 13:28:00+00,700 IRVING AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Fourth Notice,Tuesday,13,43.0424791,-76.1383985,1,25
87,23500031,2023/01/03 13:29:00+00,700 IRVING AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Tuesday,13,43.0424791,-76.1383985,1,25
88,23500032,2023/01/03 13:30:00+00,700 IRVING AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Tuesday,13,43.0424791,-76.1383985,1,25
89,23500033,2023/01/03 13:33:00+00,700 IRVING AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Tuesday,13,43.0424791,-76.1383985,1,25
90,23500034,2023/01/03 13:34:00+00,700 IRVING AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Tuesday,13,43.0424791,-76.1383985,1,25
91,23500035,2023/01/03 13:34:00+00,700 IRVING AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Fourth Notice,Tuesday,13,43.0424791,-76.1383985,1,25
92,23500036,2023/01/03 13:36:00+00,700 IRVING AVE,NO STOPPING ANY TIME CO15-316 (A)14,Issued,Tuesday,13,43.0424791,-76.1383985,1,25
93,23500038,2023/01/03 13:38:00+00,700 IRVING AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Tuesday,13,43.0424791,-76.1383985,1,25
94,23500037,2023/01/03 13:36:00+00,700 IRVING AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Issued,Tuesday,13,43.0424791,-76.1383985,1,25
95,23500039,2023/01/03 13:40:00+00,700 IRVING AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Tuesday,13,43.0424791,-76.1383985,1,25
96,23500040,2023/01/03 13:41:00+00,700 IRVING AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Tuesday,13,43.0424791,-76.1383985,1,25
97,231500043,2023/01/04 09:56:00+00,200 WASHINGTON ST W,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Wednesday,9,43.049686,-76.153724,1,25
98,231500042,2023/01/04 09:56:00+00,200 WASHINGTON ST W,NO PERMIT/ALL TIMES CO15-365,Paid In Full,Wednesday,9,43.049686,-76.153724,1,25
99,231500044,2023/01/04 09:59:00+00,200 WASHINGTON ST W,NO PERMIT/ALL TIMES CO15-365,Paid In Full,Wednesday,9,43.049686,-76.153724,1,25
100,231500045,2023/01/04 10:11:00+00,200 GENESEE ST W,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,Wednesday,10,43.0515633,-76.1536655,1,25
101,230900004,2023/01/04 10:11:00+00,400 PROSPECT AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Wednesday,10,43.057007,-76.150178,1,25
102,230900005,2023/01/04 10:12:00+00,400 PROSPECT AVE,PRKD 12 IN FROM CURB/ALL CO15-301,Paid In Full,Wednesday,10,43.057007,-76.150178,1,25
103,23500046,2023/01/04 10:11:00+00,200 GENESEE ST W,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,Wednesday,10,43.0515633,-76.1536655,1,25
104,230900007,2023/01/04 10:13:00+00,400 PROSPECT AVE,FIRE HYDRANT/ALL TIMES CO15-316 (A)4,Paid In Full,Wednesday,10,43.057007,-76.150178,1,60
105,230900006,2023/01/04 10:13:00+00,400 PROSPECT AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Wednesday,10,43.057007,-76.150178,1,25
106,231500046,2023/01/04 10:12:00+00,200 GENESEE ST W,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Wednesday,10,43.0515633,-76.1536655,1,25
107,231300003,2023/01/04 10:17:00+00,100 REMINGTON AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Wednesday,10,43.018403,-76.133353,1,60
108,375284D,2023/01/04 09:15:00+00,400 MONTGOMERY ST,LIMITED PARKING ONLY 9 AM-6 PM CO15-365,Paid In Full,Wednesday,9,43.046942,-76.149107,1,25
109,230900008,2023/01/04 10:21:00+00,400 LAUREL ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Wednesday,10,43.057369,-76.148783,1,60
110,230900009,2023/01/04 10:22:00+00,400 LAUREL ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Wednesday,10,43.057369,-76.148783,1,60
111,231300004,2023/01/04 10:21:00+00,100 REMINGTON AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Wednesday,10,43.018403,-76.133353,1,60
112,230900010,2023/01/04 10:23:00+00,400 LAUREL ST E,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,Wednesday,10,43.057369,-76.148783,1,25
113,231300005,2023/01/04 10:22:00+00,100 REMINGTON AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Wednesday,10,43.018403,-76.133353,1,60
114,230900011,2023/01/04 10:23:00+00,400 LAUREL ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Wednesday,10,43.057369,-76.148783,1,60
115,230900012,2023/01/04 10:24:00+00,400 LAUREL ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Wednesday,10,43.057369,-76.148783,1,60
116,231300006,2023/01/04 10:24:00+00,100 REMINGTON AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Wednesday,10,43.018403,-76.133353,1,60
117,230900014,2023/01/04 10:25:00+00,400 LAUREL ST E,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Denied,Wednesday,10,43.057369,-76.148783,1,25
118,231300007,2023/01/04 10:26:00+00,100 REMINGTON AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,Wednesday,10,43.018403,-76.133353,1,25
119,230900013,2023/01/04 10:25:00+00,400 LAUREL ST E,UNINSPECTED/ ALL TIMES VTL 306-B,Adjudication Denied,Wednesday,10,43.057369,-76.148783,1,25
120,231300009,2023/01/04 10:26:00+00,100 REMINGTON AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Wednesday,10,43.018403,-76.133353,1,60
121,231300008,2023/01/04 10:26:00+00,100 REMINGTON AVE,NONE/ONE LICENSE PLATE/ALL VTL402-1,Paid In Full,Wednesday,10,43.018403,-76.133353,1,25
122,231300011,2023/01/04 10:29:00+00,100 REMINGTON AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Wednesday,10,43.018403,-76.133353,1,60
123,231300010,2023/01/04 10:28:00+00,100 REMINGTON AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Wednesday,10,43.018403,-76.133353,1,60
124,231500047,2023/01/04 10:28:00+00,300 FAYETTE ST W,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Wednesday,10,43.04900685,-76.15629208375377,1,25
125,231300012,2023/01/04 10:30:00+00,100 REMINGTON AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Promise To Pay,Wednesday,10,43.018403,-76.133353,1,60
126,230900015,2023/01/04 10:31:00+00,200 PROSPECT AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Denied,Wednesday,10,43.054776,-76.148399,1,25
127,230900016,2023/01/04 10:31:00+00,200 PROSPECT AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Wednesday,10,43.054776,-76.148399,1,25
128,231500048,2023/01/04 10:31:00+00,200 WALTON ST,PARKED IN LOADING ZONE/ALL CO15-329,Paid In Full,Wednesday,10,43.0480834,-76.1556976,1,25
129,23500047,2023/01/04 10:31:00+00,200 WALTON ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,Wednesday,10,43.0480834,-76.1556976,1,25
130,231300013,2023/01/04 10:31:00+00,100 REMINGTON AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Wednesday,10,43.018403,-76.133353,1,60
131,231300014,2023/01/04 10:33:00+00,100 REMINGTON AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Wednesday,10,43.018403,-76.133353,1,60
132,230900017,2023/01/04 10:33:00+00,200 PROSPECT AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Wednesday,10,43.054776,-76.148399,1,25
133,230900018,2023/01/04 10:33:00+00,200 PROSPECT AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Wednesday,10,43.054776,-76.148399,1,25
134,230900019,2023/01/04 10:34:00+00,200 PROSPECT AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Wednesday,10,43.054776,-76.148399,1,25
135,231300015,2023/01/04 10:35:00+00,100 REMINGTON AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Void Approved,Wednesday,10,43.018403,-76.133353,1,0
136,23500048,2023/01/04 10:35:00+00,100 WALTON ST,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,Wednesday,10,43.048044,-76.153734,1,25
137,231300016,2023/01/04 10:35:00+00,100 REMINGTON AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Void Approved,Wednesday,10,43.018403,-76.133353,1,0
138,230900021,2023/01/04 10:35:00+00,200 PROSPECT AVE,OVERTIME PRKNG MON-SAT 9AM-6PM CO15-383,Paid In Full,Wednesday,10,43.054776,-76.148399,1,25
139,230900020,2023/01/04 10:35:00+00,200 PROSPECT AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Wednesday,10,43.054776,-76.148399,1,25
140,231500049,2023/01/04 10:36:00+00,300 FRANKLIN ST S,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Wednesday,10,43.048579,-76.155638,1,25
141,231500050,2023/01/04 10:40:00+00,200 FAYETTE ST W,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Wednesday,10,43.048774,-76.153734,1,25
142,23500049,2023/01/04 10:39:00+00,200 FAYETTE ST W,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,Wednesday,10,43.048774,-76.153734,1,25
143,230900027,2023/01/04 10:45:00+00,200 PROSPECT AVE,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,Wednesday,10,43.054776,-76.148399,1,25
144,231500051,2023/01/04 10:41:00+00,200 FAYETTE ST W,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Wednesday,10,43.048774,-76.153734,1,25
145,23500050,2023/01/04 11:20:00+00,300 WARREN ST S,UNINSPECTED/ ALL TIMES VTL 306-B,Adjudication Pending ,Wednesday,11,43.048532949999995,-76.15107612442631,1,25
146,231500052,2023/01/04 11:21:00+00,300 WARREN ST S,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Wednesday,11,43.048532949999995,-76.15107612442631,1,25
147,23500051,2023/01/04 11:28:00+00,200 JEFFERSON ST E,NONE/ONE LICENSE PLATE/ALL VTL402-1,Paid In Full,Wednesday,11,43.046945,-76.150633,1,25
148,23500052,2023/01/04 11:29:00+00,200 JEFFERSON ST E,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,Wednesday,11,43.046945,-76.150633,1,25
149,231500056,2023/01/04 11:34:00+00,300 MONTGOMERY ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,Wednesday,11,43.0482461,-76.1495403,1,25
